frame,x,y,w,h,cx,cy
0,244,246,18,17,253,254
0,96,176,24,16,108,184
0,48,176,22,14,59,183
0,455,174,21,14,465,181
0,170,174,22,16,181,182
0,528,170,22,16,539,178
0,107,118,22,13,118,124
0,244,102,16,16,252,110
1,244,246,18,17,253,254
1,96,176,24,16,108,184
1,48,176,22,14,59,183
1,455,174,21,14,465,181
1,170,174,22,16,181,182
1,528,170,22,16,539,178
1,107,118,22,13,118,124
1,244,102,16,16,252,110
2,244,246,18,17,253,254
2,96,176,24,16,108,184
2,48,176,22,14,59,183
2,455,174,21,14,465,181
2,170,174,22,16,181,182
2,528,170,22,16,539,178
2,107,118,22,13,118,124
2,244,102,16,16,252,110
3,244,246,18,17,253,254
3,96,176,24,16,108,184
3,48,176,22,14,59,183
3,455,174,21,14,465,181
3,170,174,22,16,181,182
3,528,170,22,16,539,178
3,107,118,22,13,118,124
3,244,102,16,16,252,110
4,244,246,18,17,253,254
4,96,176,24,16,108,184
4,48,176,22,14,59,183
4,455,174,21,14,465,181
4,170,174,22,16,181,182
4,528,170,22,16,539,178
4,107,118,22,13,118,124
4,244,102,16,16,252,110
5,244,246,18,17,253,254
5,96,176,24,16,108,184
5,48,176,22,14,59,183
5,455,174,21,14,465,181
5,170,174,22,16,181,182
5,528,170,22,16,539,178
5,107,118,22,13,118,124
5,244,102,16,16,252,110
6,244,246,18,17,253,254
6,96,176,24,16,108,184
6,48,176,22,14,59,183
6,455,174,21,14,465,181
6,170,174,22,16,181,182
6,528,170,22,16,539,178
6,107,118,22,13,118,124
6,244,102,16,16,252,110
7,244,246,18,17,253,254
7,96,176,24,16,108,184
7,48,176,22,14,59,183
7,455,174,21,14,465,181
7,170,174,22,16,181,182
7,528,170,22,16,539,178
7,107,118,22,13,118,124
7,244,102,16,16,252,110
8,244,246,18,17,253,254
8,96,176,24,16,108,184
8,48,176,22,14,59,183
8,455,174,21,14,465,181
8,170,174,22,16,181,182
8,528,170,22,16,539,178
8,107,118,22,13,118,124
8,244,102,16,16,252,110
9,244,246,18,17,253,254
9,96,176,24,16,108,184
9,48,176,22,14,59,183
9,455,174,21,14,465,181
9,170,174,22,16,181,182
9,528,170,22,16,539,178
9,107,118,22,13,118,124
9,244,102,16,16,252,110
10,244,246,18,17,253,254
10,96,176,24,16,108,184
10,48,176,22,14,59,183
10,455,174,21,14,465,181
10,170,174,22,16,181,182
10,528,170,22,16,539,178
10,107,118,22,13,118,124
10,244,102,16,16,252,110
11,244,246,18,17,253,254
11,96,176,24,16,108,184
11,48,176,22,14,59,183
11,455,174,21,14,465,181
11,170,174,22,16,181,182
11,528,170,22,16,539,178
11,107,118,22,13,118,124
11,244,102,16,16,252,110
12,244,246,18,17,253,254
12,96,176,24,16,108,184
12,48,176,22,14,59,183
12,455,174,21,14,465,181
12,170,174,22,16,181,182
12,528,170,22,16,539,178
12,107,118,22,13,118,124
12,244,102,16,16,252,110
13,244,246,18,17,253,254
13,96,176,24,16,108,184
13,48,176,22,14,59,183
13,455,174,21,14,465,181
13,170,174,22,16,181,182
13,528,170,22,16,539,178
13,107,118,22,13,118,124
13,244,102,16,16,252,110
14,244,246,18,17,253,254
14,96,176,24,16,108,184
14,48,176,22,14,59,183
14,455,174,21,14,465,181
14,170,174,22,16,181,182
14,528,170,22,16,539,178
14,107,118,22,13,118,124
14,244,102,16,16,252,110
15,244,246,18,17,253,254
15,96,176,24,16,108,184
15,48,176,22,14,59,183
15,455,174,21,14,465,181
15,170,174,22,16,181,182
15,528,170,22,16,539,178
15,107,118,22,13,118,124
15,244,102,16,16,252,110
16,244,246,18,17,253,254
16,96,176,24,16,108,184
16,48,176,22,14,59,183
16,455,174,21,14,465,181
16,170,174,22,16,181,182
16,528,170,22,16,539,178
16,107,118,22,13,118,124
16,244,102,16,16,252,110
17,244,246,18,17,253,254
17,96,176,24,16,108,184
17,48,176,22,14,59,183
17,455,174,21,14,465,181
17,170,174,22,16,181,182
17,528,170,22,16,539,178
17,107,118,22,13,118,124
17,244,102,16,16,252,110
18,244,246,18,17,253,254
18,96,176,24,16,108,184
18,48,176,22,14,59,183
18,455,174,21,14,465,181
18,170,174,22,16,181,182
18,528,170,22,16,539,178
18,107,118,22,13,118,124
18,244,102,16,16,252,110
19,244,246,18,17,253,254
19,96,176,24,16,108,184
19,48,176,22,14,59,183
19,455,174,21,14,465,181
19,170,174,22,16,181,182
19,528,170,22,16,539,178
19,107,118,22,13,118,124
19,244,102,16,16,252,110
20,244,246,18,17,253,254
20,96,176,24,16,108,184
20,48,176,22,14,59,183
20,455,174,21,14,465,181
20,170,174,22,16,181,182
20,528,170,22,16,539,178
20,107,118,22,13,118,124
20,244,102,16,16,252,110
21,244,246,18,17,253,254
21,96,176,24,16,108,184
21,48,176,22,14,59,183
21,455,174,21,14,465,181
21,170,174,22,16,181,182
21,528,170,22,16,539,178
21,107,118,22,13,118,124
21,244,102,16,16,252,110
22,244,246,18,17,253,254
22,96,176,24,16,108,184
22,48,176,22,14,59,183
22,455,174,21,14,465,181
22,170,174,22,16,181,182
22,528,170,22,16,539,178
22,107,118,22,13,118,124
22,244,102,16,16,252,110
23,244,246,18,17,253,254
23,96,176,24,16,108,184
23,48,176,22,14,59,183
23,455,174,21,14,465,181
23,170,174,22,16,181,182
23,528,170,22,16,539,178
23,107,118,22,13,118,124
23,244,102,16,16,252,110
24,244,246,18,17,253,254
24,96,176,24,16,108,184
24,48,176,22,14,59,183
24,455,174,21,14,465,181
24,170,174,22,16,181,182
24,528,170,22,16,539,178
24,107,118,22,13,118,124
24,244,102,16,16,252,110
25,244,246,18,17,253,254
25,96,176,24,16,108,184
25,48,176,22,14,59,183
25,455,174,21,14,465,181
25,170,174,22,16,181,182
25,528,170,22,16,539,178
25,107,118,22,13,118,124
25,244,102,16,16,252,110
26,244,246,18,17,253,254
26,96,176,24,16,108,184
26,48,176,22,14,59,183
26,455,174,21,14,465,181
26,170,174,22,16,181,182
26,528,170,22,16,539,178
26,107,118,22,13,118,124
26,244,102,16,16,252,110
27,244,246,18,17,253,254
27,96,176,24,16,108,184
27,48,176,22,14,59,183
27,455,174,21,14,465,181
27,170,174,22,16,181,182
27,528,170,22,16,539,178
27,107,118,22,13,118,124
27,244,102,16,16,252,110
28,244,246,18,17,253,254
28,96,176,24,16,108,184
28,48,176,22,14,59,183
28,455,174,21,14,465,181
28,170,174,22,16,181,182
28,528,170,22,16,539,178
28,107,118,22,13,118,124
28,244,102,16,16,252,110
29,244,246,18,17,253,254
29,96,176,24,16,108,184
29,48,176,22,14,59,183
29,455,174,21,14,465,181
29,170,174,22,16,181,182
29,528,170,22,16,539,178
29,107,118,22,13,118,124
29,244,102,16,16,252,110
30,244,246,18,17,253,254
30,96,176,24,16,108,184
30,48,176,22,14,59,183
30,455,174,21,14,465,181
30,170,174,22,16,181,182
30,528,170,22,16,539,178
30,107,118,22,13,118,124
30,244,102,16,16,252,110
31,244,246,18,17,253,254
31,96,176,24,16,108,184
31,48,176,22,14,59,183
31,455,174,21,14,465,181
31,170,174,22,16,181,182
31,528,170,22,16,539,178
31,107,118,22,13,118,124
31,244,102,16,16,252,110
32,383,248,14,14,390,255
32,244,246,18,17,253,254
32,96,176,24,16,108,184
32,48,176,22,14,59,183
32,455,174,21,14,465,181
32,170,174,22,16,181,182
32,528,170,22,16,539,178
32,107,118,22,13,118,124
32,244,102,16,16,252,110
33,244,246,18,17,253,254
33,96,176,24,16,108,184
33,48,176,22,14,59,183
33,455,174,21,14,465,181
33,170,174,22,16,181,182
33,528,170,22,16,539,178
33,107,118,22,13,118,124
33,244,102,16,16,252,110
34,244,246,18,17,253,254
34,96,176,24,16,108,184
34,48,176,22,14,59,183
34,455,174,21,14,465,181
34,170,174,22,16,181,182
34,528,170,22,16,539,178
34,107,118,22,13,118,124
34,244,102,16,16,252,110
35,244,246,18,17,253,254
35,96,176,24,16,108,184
35,48,176,22,14,59,183
35,455,174,21,14,465,181
35,170,174,22,16,181,182
35,528,170,22,16,539,178
35,107,118,22,13,118,124
35,244,102,16,16,252,110
36,244,246,18,17,253,254
36,96,176,24,16,108,184
36,48,176,22,14,59,183
36,455,174,21,14,465,181
36,170,174,22,16,181,182
36,528,170,22,16,539,178
36,107,118,22,13,118,124
36,244,102,16,16,252,110
37,244,246,18,17,253,254
37,96,176,24,16,108,184
37,48,176,22,14,59,183
37,455,174,21,14,465,181
37,170,174,22,16,181,182
37,528,170,22,16,539,178
37,107,118,22,13,118,124
37,244,102,16,16,252,110
38,244,246,18,17,253,254
38,96,176,24,16,108,184
38,48,176,22,14,59,183
38,455,174,21,14,465,181
38,170,174,22,16,181,182
38,528,170,22,16,539,178
38,107,118,22,13,118,124
38,244,102,16,16,252,110
39,244,246,18,17,253,254
39,96,176,24,16,108,184
39,48,176,22,14,59,183
39,455,174,21,14,465,181
39,170,174,22,16,181,182
39,528,170,22,16,539,178
39,107,118,22,13,118,124
39,244,102,16,16,252,110
40,244,246,18,17,253,254
40,96,176,24,16,108,184
40,48,176,22,14,59,183
40,455,174,21,14,465,181
40,170,174,22,16,181,182
40,528,170,22,16,539,178
40,107,118,22,13,118,124
40,244,102,16,16,252,110
41,244,246,18,17,253,254
41,96,176,24,16,108,184
41,48,176,22,14,59,183
41,455,174,21,14,465,181
41,170,174,22,16,181,182
41,528,170,22,16,539,178
41,107,118,22,13,118,124
41,244,102,16,16,252,110
42,244,246,18,17,253,254
42,96,176,24,16,108,184
42,48,176,22,14,59,183
42,455,174,21,14,465,181
42,170,174,22,16,181,182
42,528,170,22,16,539,178
42,107,118,22,13,118,124
