frame,track_id,x,y,w,h,cx,cy
0,1,244,246,18,17,253,254
0,2,96,176,24,16,108,184
0,3,48,176,22,14,59,183
0,4,454,174,21,14,465,181
0,5,170,174,22,16,181,182
0,6,528,170,22,16,539,178
0,7,107,118,22,13,118,124
0,8,244,102,16,16,252,110
1,1,244,246,18,17,253,254
1,2,96,176,24,16,108,184
1,3,48,176,22,14,59,183
1,4,454,174,21,14,465,181
1,5,170,174,22,16,181,182
1,6,528,170,22,16,539,178
1,7,107,118,22,13,118,124
1,8,244,102,16,16,252,110
2,1,244,246,18,17,253,254
2,2,96,176,24,16,108,184
2,3,48,176,22,14,59,183
2,4,454,174,21,14,465,181
2,5,170,174,22,16,181,182
2,6,528,170,22,16,539,178
2,7,107,118,22,13,118,124
2,8,244,102,16,16,252,110
3,1,244,246,18,17,253,254
3,2,96,176,24,16,108,184
3,3,48,176,22,14,59,183
3,4,454,174,21,14,465,181
3,5,170,174,22,16,181,182
3,6,528,170,22,16,539,178
3,7,107,118,22,13,118,124
3,8,244,102,16,16,252,110
4,1,244,246,18,17,253,254
4,2,96,176,24,16,108,184
4,3,48,176,22,14,59,183
4,4,454,174,21,14,465,181
4,5,170,174,22,16,181,182
4,6,528,170,22,16,539,178
4,7,107,118,22,13,118,124
4,8,244,102,16,16,252,110
5,1,244,246,18,17,253,254
5,2,96,176,24,16,108,184
5,3,48,176,22,14,59,183
5,4,454,174,21,14,465,181
5,5,170,174,22,16,181,182
5,6,528,170,22,16,539,178
5,7,107,118,22,13,118,124
5,8,244,102,16,16,252,110
6,1,244,246,18,17,253,254
6,2,96,176,24,16,108,184
6,3,48,176,22,14,59,183
6,4,454,174,21,14,465,181
6,5,170,174,22,16,181,182
6,6,528,170,22,16,539,178
6,7,107,118,22,13,118,124
6,8,244,102,16,16,252,110
7,1,244,246,18,17,253,254
7,2,96,176,24,16,108,184
7,3,48,176,22,14,59,183
7,4,454,174,21,14,465,181
7,5,170,174,22,16,181,182
7,6,528,170,22,16,539,178
7,7,107,118,22,13,118,124
7,8,244,102,16,16,252,110
8,1,244,246,18,17,253,254
8,2,96,176,24,16,108,184
8,3,48,176,22,14,59,183
8,4,454,174,21,14,465,181
8,5,170,174,22,16,181,182
8,6,528,170,22,16,539,178
8,7,107,118,22,13,118,124
8,8,244,102,16,16,252,110
9,1,244,246,18,17,253,254
9,2,96,176,24,16,108,184
9,3,48,176,22,14,59,183
9,4,454,174,21,14,465,181
9,5,170,174,22,16,181,182
9,6,528,170,22,16,539,178
9,7,107,118,22,13,118,124
9,8,244,102,16,16,252,110
10,1,244,246,18,17,253,254
10,2,96,176,24,16,108,184
10,3,48,176,22,14,59,183
10,4,454,174,21,14,465,181
10,5,170,174,22,16,181,182
10,6,528,170,22,16,539,178
10,7,107,118,22,13,118,124
10,8,244,102,16,16,252,110
11,1,244,246,18,17,253,254
11,2,96,176,24,16,108,184
11,3,48,176,22,14,59,183
11,4,454,174,21,14,465,181
11,5,170,174,22,16,181,182
11,6,528,170,22,16,539,178
11,7,107,118,22,13,118,124
11,8,244,102,16,16,252,110
12,1,244,246,18,17,253,254
12,2,96,176,24,16,108,184
12,3,48,176,22,14,59,183
12,4,454,174,21,14,465,181
12,5,170,174,22,16,181,182
12,6,528,170,22,16,539,178
12,7,107,118,22,13,118,124
12,8,244,102,16,16,252,110
13,1,244,246,18,17,253,254
13,2,96,176,24,16,108,184
13,3,48,176,22,14,59,183
13,4,454,174,21,14,465,181
13,5,170,174,22,16,181,182
13,6,528,170,22,16,539,178
13,7,107,118,22,13,118,124
13,8,244,102,16,16,252,110
14,1,244,246,18,17,253,254
14,2,96,176,24,16,108,184
14,3,48,176,22,14,59,183
14,4,454,174,21,14,465,181
14,5,170,174,22,16,181,182
14,6,528,170,22,16,539,178
14,7,107,118,22,13,118,124
14,8,244,102,16,16,252,110
15,1,244,246,18,17,253,254
15,2,96,176,24,16,108,184
15,3,48,176,22,14,59,183
15,4,454,174,21,14,465,181
15,5,170,174,22,16,181,182
15,6,528,170,22,16,539,178
15,7,107,118,22,13,118,124
15,8,244,102,16,16,252,110
16,1,244,246,18,17,253,254
16,2,96,176,24,16,108,184
16,3,48,176,22,14,59,183
16,4,454,174,21,14,465,181
16,5,170,174,22,16,181,182
16,6,528,170,22,16,539,178
16,7,107,118,22,13,118,124
16,8,244,102,16,16,252,110
17,1,244,246,18,17,253,254
17,2,96,176,24,16,108,184
17,3,48,176,22,14,59,183
17,4,454,174,21,14,465,181
17,5,170,174,22,16,181,182
17,6,528,170,22,16,539,178
17,7,107,118,22,13,118,124
17,8,244,102,16,16,252,110
18,1,244,246,18,17,253,254
18,2,96,176,24,16,108,184
18,3,48,176,22,14,59,183
18,4,454,174,21,14,465,181
18,5,170,174,22,16,181,182
18,6,528,170,22,16,539,178
18,7,107,118,22,13,118,124
18,8,244,102,16,16,252,110
19,1,244,246,18,17,253,254
19,2,96,176,24,16,108,184
19,3,48,176,22,14,59,183
19,4,454,174,21,14,465,181
19,5,170,174,22,16,181,182
19,6,528,170,22,16,539,178
19,7,107,118,22,13,118,124
19,8,244,102,16,16,252,110
20,1,244,246,18,17,253,254
20,2,96,176,24,16,108,184
20,3,48,176,22,14,59,183
20,4,454,174,21,14,465,181
20,5,170,174,22,16,181,182
20,6,528,170,22,16,539,178
20,7,107,118,22,13,118,124
20,8,244,102,16,16,252,110
21,1,244,246,18,17,253,254
21,2,96,176,24,16,108,184
21,3,48,176,22,14,59,183
21,4,454,174,21,14,465,181
21,5,170,174,22,16,181,182
21,6,528,170,22,16,539,178
21,7,107,118,22,13,118,124
21,8,244,102,16,16,252,110
22,1,244,246,18,17,253,254
22,2,96,176,24,16,108,184
22,3,48,176,22,14,59,183
22,4,454,174,21,14,465,181
22,5,170,174,22,16,181,182
22,6,528,170,22,16,539,178
22,7,107,118,22,13,118,124
22,8,244,102,16,16,252,110
23,1,244,246,18,17,253,254
23,2,96,176,24,16,108,184
23,3,48,176,22,14,59,183
23,4,454,174,21,14,465,181
23,5,170,174,22,16,181,182
23,6,528,170,22,16,539,178
23,7,107,118,22,13,118,124
23,8,244,102,16,16,252,110
24,1,244,246,18,17,253,254
24,2,96,176,24,16,108,184
24,3,48,176,22,14,59,183
24,4,454,174,21,14,465,181
24,5,170,174,22,16,181,182
24,6,528,170,22,16,539,178
24,7,107,118,22,13,118,124
24,8,244,102,16,16,252,110
25,1,244,246,18,17,253,254
25,2,96,176,24,16,108,184
25,3,48,176,22,14,59,183
25,4,454,174,21,14,465,181
25,5,170,174,22,16,181,182
