frame,x,y,w,h,cx,cy
337,266,179,33,25,282,191
338,556,118,20,11,566,123
338,532,114,17,9,540,118
339,555,117,20,12,565,123
339,266,181,33,25,282,193
339,531,114,17,8,539,118
340,555,118,20,12,565,124
340,265,181,34,26,282,194
340,299,169,33,20,315,179
340,531,114,16,8,539,118
341,264,181,35,26,281,194
341,556,118,19,11,565,123
341,299,170,33,20,315,180
341,531,114,16,8,539,118
341,573,131,21,9,583,135
342,263,187,36,26,281,200
342,298,172,34,23,315,183
342,529,114,15,8,536,118
342,553,117,20,11,563,122
342,568,129,20,9,578,133
342,204,159,35,26,221,172
343,297,174,35,22,314,185
343,264,189,36,27,282,202
343,528,113,15,8,535,117
343,565,129,20,8,575,133
343,552,117,19,11,561,122
344,263,192,38,29,282,206
344,297,176,36,24,315,188
344,526,113,16,8,534,117
344,613,134,25,12,625,140
344,563,129,19,8,572,133
344,201,163,36,27,219,176
345,263,192,38,28,282,206
345,296,176,36,23,314,187
345,525,113,17,8,533,117
345,613,133,25,12,625,139
345,563,129,19,8,572,133
345,202,162,36,27,220,175
346,263,192,38,29,282,206
346,296,176,36,24,314,188
346,526,113,16,8,534,117
346,614,133,25,12,626,139
346,202,161,36,27,220,174
346,563,129,19,8,572,133
347,263,192,38,29,282,206
347,296,177,37,23,314,188
347,526,113,16,8,534,117
347,614,133,25,13,626,139
347,201,161,36,27,219,174
347,563,129,19,8,572,133
348,262,198,40,30,282,213
348,295,181,37,24,313,193
348,197,161,38,31,216,176
348,524,113,15,8,531,117
348,559,127,19,9,568,131
348,623,138,16,15,631,145
348,608,132,22,10,619,137
348,363,283,75,55,400,310
349,261,201,40,31,281,216
349,295,183,37,25,313,195
349,196,162,39,33,215,178
349,367,286,79,62,406,317
349,618,137,20,15,628,144
349,604,131,22,11,615,136
349,557,128,18,9,566,132
349,523,113,15,8,530,117
349,227,155,27,14,240,162
350,295,186,38,27,314,199
350,261,205,42,35,282,222
350,195,164,39,33,214,180
350,371,299,82,59,412,328
350,602,130,22,11,613,135
350,615,135,24,16,627,143
350,522,112,15,8,529,116
351,261,205,42,34,282,222
351,295,186,38,27,314,199
351,194,164,39,34,213,181
351,371,299,82,59,412,328
351,602,130,22,11,613,135
351,615,135,24,16,627,143
351,521,112,15,8,528,116
351,555,126,18,9,564,130
351,602,131,21,12,612,137
352,295,186,38,27,314,199
352,261,205,42,34,282,222
352,194,164,39,34,213,181
352,371,299,82,59,412,328
352,602,130,22,11,613,135
352,521,112,15,8,528,116
352,230,155,23,14,241,162
352,615,135,24,16,627,143
352,555,126,18,9,564,130
353,295,186,38,27,314,199
353,261,205,42,34,282,222
353,194,164,39,34,213,181
353,372,299,82,59,413,328
353,603,130,22,11,614,135
353,231,156,21,13,241,162
353,521,112,15,8,528,116
353,615,135,24,16,627,143
353,554,126,19,9,563,130
354,260,213,44,34,282,230
354,294,191,39,27,313,204
354,189,167,42,36,210,185
354,550,126,18,8,559,130
354,222,157,28,15,236,164
354,608,136,29,14,622,143
354,597,130,20,9,607,134
355,293,194,40,28,313,208
355,260,217,44,35,282,234
355,188,169,42,37,209,187
355,602,134,30,15,617,141
355,221,156,28,18,235,165
355,549,125,17,9,557,129
355,595,132,38,17,614,140
356,261,222,43,34,282,239
356,185,171,44,38,207,190
356,293,196,40,30,313,211
356,599,134,30,15,614,141
356,547,125,17,8,555,129
356,220,158,28,17,234,166
357,260,222,44,34,282,239
357,185,171,44,38,207,190
357,293,196,41,30,313,211
357,220,157,28,18,234,166
357,599,134,31,15,614,141
357,547,125,17,8,555,129
358,260,222,44,34,282,239
358,185,171,44,38,207,190
358,293,196,41,30,313,211
358,220,158,28,18,234,167
358,599,133,31,15,614,140
358,547,126,17,8,555,130
359,260,222,44,34,282,239
359,185,172,43,38,206,191
359,293,196,41,30,313,211
359,222,158,27,18,235,167
359,547,125,17,8,555,129
359,320,148,22,15,331,155
359,599,133,30,15,614,140
359,225,243,47,46,248,266
360,218,159,28,21,232,169
360,292,204,44,31,314,219
360,181,175,45,40,203,195
360,260,232,47,41,283,252
360,320,150,23,16,331,158
360,544,125,15,6,551,128
360,226,244,46,45,249,266
360,587,129,34,17,604,137
361,291,207,45,31,313,222
361,256,238,54,47,283,261
361,215,162,31,20,230,172
361,178,177,47,41,201,197
361,320,150,24,18,332,159
361,585,127,34,18,602,136
361,225,243,39,47,244,266
361,542,124,16,8,550,128
362,291,210,46,34,314,227
362,256,244,56,47,284,267
362,216,163,29,20,230,173
362,320,151,24,18,332,160
362,177,180,47,41,200,200
362,226,244,40,46,246,267
362,583,127,31,17,598,135
362,539,123,17,8,547,127
363,291,210,45,34,313,227
363,256,244,56,47,284,267
363,216,163,29,20,230,173
363,320,151,24,18,332,160
363,177,180,47,41,200,200
363,226,244,40,46,246,267
363,583,127,31,17,598,135
363,539,123,17,8,547,127
364,291,210,45,34,313,227
364,256,244,56,47,284,267
364,216,163,30,20,231,173
364,176,180,48,41,200,200
364,226,244,40,46,246,267
364,320,151,24,18,332,160
364,583,127,31,17,598,135
364,539,123,17,8,547,127
365,291,210,45,34,313,227
365,255,244,57,47,283,267
365,215,163,30,20,230,173
365,176,180,48,41,200,200
365,226,244,39,46,245,267
365,583,127,31,17,598,135
365,320,151,24,18,332,160
365,538,123,17,8,546,127
366,253,258,61,55,283,285
366,290,219,48,35,314,236
366,214,163,30,24,229,175
366,321,154,24,18,333,163
366,170,185,52,46,196,208
366,579,127,28,16,593,135
366,535,122,16,8,543,126
366,226,243,46,47,249,266
366,279,135,21,17,289,143
367,253,265,64,57,285,293
367,288,224,51,37,313,242
367,212,164,30,25,227,176
367,576,126,29,16,590,134
367,322,155,25,19,334,164
367,168,188,51,47,193,211
367,533,121,18,9,542,125
367,279,136,21,16,289,144
367,226,244,48,47,250,267
368,251,274,67,60,284,304
368,288,228,53,40,314,248
368,210,170,30,21,225,180
368,574,125,28,17,588,133
368,531,121,17,9,539,125
368,164,190,54,48,191,214
368,278,138,21,16,288,146
368,322,157,26,19,335,166
369,251,274,67,60,284,304
369,288,228,53,39,314,247
369,211,169,30,22,226,180
369,574,125,28,17,588,133
369,531,121,17,9,539,125
369,278,138,21,16,288,146
369,164,190,54,48,191,214
369,322,157,26,19,335,166
370,251,274,67,60,284,304
370,211,169,31,22,226,180
370,288,227,53,40,314,247
370,574,125,29,17,588,133
370,278,138,22,16,289,146
370,531,121,17,9,539,125
370,164,190,54,48,191,214
370,322,157,26,19,335,166
370,256,129,19,14,265,136
371,210,169,31,22,225,180
371,251,274,67,61,284,304
371,288,227,53,40,314,247
371,278,138,22,16,289,146
371,574,125,28,17,588,133
371,322,157,26,19,335,166
371,531,121,17,9,539,125
371,165,190,53,48,191,214
371,256,129,19,13,265,135
371,165,190,53,48,191,214
372,248,295,77,63,286,326
372,206,172,34,24,223,184
372,287,239,56,41,315,259
372,254,130,20,13,264,136
372,570,124,25,15,582,131
372,323,161,27,19,336,170
372,277,139,22,17,288,147
372,527,117,17,12,535,123
372,157,197,57,52,185,223
372,158,197,57,52,186,223
373,247,305,81,53,287,331
373,206,175,33,23,222,186
373,324,162,27,20,337,172
373,567,124,25,15,579,131
373,286,244,58,44,315,266
373,154,200,59,54,183,227
373,277,141,23,17,288,149
373,253,130,20,14,263,137
373,525,113,18,15,534,120
373,526,117,17,11,534,122
374,324,163,28,20,338,173
374,203,177,35,25,220,189
374,275,141,24,17,287,149
374,287,251,59,46,316,274
374,246,319,83,37,287,337
374,564,124,25,14,576,131
374,524,111,18,16,533,119
374,252,131,20,14,262,138
374,151,204,59,55,180,231
374,319,140,22,13,330,146
374,506,108,14,8,513,112
375,324,163,28,20,338,173
375,203,177,35,25,220,189
375,275,141,24,17,287,149
375,287,251,59,46,316,274
375,246,319,83,37,287,337
375,564,124,25,14,576,131
375,524,111,19,16,533,119
375,252,131,20,14,262,138
375,151,204,59,55,180,231
375,506,108,14,8,513,112
375,319,140,22,13,330,146
376,324,163,28,20,338,173
376,203,177,35,24,220,189
376,275,141,24,17,287,149
376,287,251,59,46,316,274
376,246,319,83,37,287,337
376,564,124,25,14,576,131
376,524,111,19,16,533,119
376,151,204,59,55,180,231
376,252,131,20,14,262,138
376,506,108,14,8,513,112
377,324,163,28,20,338,173
377,203,177,35,24,220,189
377,275,141,24,17,287,149
377,287,251,60,46,317,274
377,246,319,83,37,287,337
377,565,124,25,14,577,131
377,524,111,19,16,533,119
377,252,131,20,15,262,138
377,151,204,59,55,180,231
377,506,108,14,8,513,112
377,319,140,22,13,330,146
