frame,x,y,w,h,cx,cy
4,308,137,195,219,405,246
4,530,164,80,193,570,260
4,226,186,76,170,264,271
5,295,138,228,218,409,247
5,531,164,76,192,569,260
5,146,150,156,207,224,253
6,299,141,228,216,413,249
6,532,164,74,195,569,261
6,146,206,126,152,209,282
6,594,151,45,152,616,227
6,226,183,78,173,265,269
6,188,151,116,205,246,253
6,283,167,65,141,315,237
7,301,141,228,216,415,249
7,532,164,72,194,568,261
7,187,154,119,202,246,255
7,146,205,125,153,208,281
7,278,167,73,156,314,245
7,484,153,62,189,515,247
8,302,143,225,214,414,250
8,145,204,128,153,209,280
8,532,163,74,194,569,260
8,190,151,116,206,248,254
8,285,167,66,155,318,244
8,474,153,72,180,510,243
8,415,163,116,193,473,259
8,238,169,52,86,264,212
9,302,144,230,212,417,250
9,142,204,132,153,208,280
9,532,163,76,194,570,260
9,286,167,66,145,319,239
9,192,152,115,204,249,254
9,469,153,78,182,508,244
9,268,176,35,65,285,208
9,414,162,117,195,472,259
9,60,172,54,58,87,201
9,241,171,49,82,265,212
10,302,144,229,212,416,250
10,149,204,126,153,212,280
10,191,151,114,205,248,253
10,532,163,77,194,570,260
10,286,167,65,150,318,242
10,474,153,74,174,511,240
10,268,176,36,67,286,209
10,60,172,55,57,87,200
10,562,112,77,244,600,234
10,415,163,117,192,473,259
11,301,144,229,212,415,250
11,145,202,130,155,210,279
11,193,150,113,206,249,253
11,532,163,75,193,569,259
11,286,167,66,145,319,239
11,562,112,77,244,600,234
11,474,153,74,175,511,240
11,266,177,38,67,285,210
11,60,173,56,60,88,203
12,301,146,228,210,415,251
12,195,149,112,207,251,252
12,557,111,82,246,598,234
12,139,201,137,156,207,279
12,533,164,74,192,570,260
12,287,166,64,143,319,237
12,468,154,79,194,507,251
12,261,177,43,67,282,210
12,63,171,56,61,91,201
13,298,147,232,209,414,251
13,198,148,110,208,253,252
13,555,111,84,246,597,234
13,533,163,74,193,570,259
13,141,202,136,155,209,279
13,467,153,80,191,507,248
13,287,166,64,129,319,230
13,264,176,40,64,284,208
13,123,193,37,62,141,224
14,297,147,232,209,413,251
14,197,146,112,209,253,250
14,141,200,137,157,209,278
14,552,109,87,248,595,233
14,533,163,74,193,570,259
14,467,153,80,196,507,251
14,287,164,63,124,318,226
14,263,176,42,63,284,207
14,123,188,38,66,142,221
14,63,173,57,58,91,202
14,529,174,26,39,542,193
15,297,148,231,209,412,252
15,200,147,110,208,255,251
15,143,208,135,149,210,282
15,554,109,85,248,596,233
15,533,162,74,193,570,258
15,467,153,80,198,507,252
15,287,164,63,124,318,226
15,265,179,40,60,285,209
15,123,191,37,64,141,223
16,295,147,233,209,411,251
16,201,143,109,212,255,249
16,142,202,137,155,210,279
16,551,109,88,247,595,232
16,532,164,75,193,569,260
16,287,163,64,120,319,223
16,468,153,79,197,507,251
16,264,178,40,58,284,207
16,123,189,38,67,142,222
16,62,173,67,60,95,203
17,294,146,234,210,411,251
17,201,140,109,216,255,248
17,144,199,137,158,212,278
17,548,109,91,248,593,233
17,288,162,62,116,319,220
17,532,163,78,193,571,259
17,469,154,78,199,508,253
17,123,189,38,69,142,223
17,63,173,63,59,94,202
17,0,203,152,153,76,279
17,265,177,40,57,285,205
17,443,171,45,58,465,200
18,292,145,235,211,409,250
18,144,200,138,157,213,278
18,202,138,108,217,256,246
18,546,108,93,248,592,232
18,288,161,63,111,319,216
18,533,163,78,193,572,259
18,469,153,78,200,508,253
18,64,173,60,59,94,202
18,0,202,149,154,74,279
18,265,178,39,55,284,205
18,122,191,39,66,141,224
18,442,171,45,57,464,199
18,408,161,47,72,431,197
19,291,145,237,211,409,250
19,144,199,139,158,213,278
19,203,136,107,219,256,245
19,547,108,92,249,593,232
19,291,161,60,109,321,215
19,470,153,77,200,508,253
19,533,164,79,193,572,260
19,441,171,44,56,463,199
19,64,173,60,59,94,202
19,265,177,40,55,285,204
19,0,201,146,154,73,278
19,407,161,48,71,431,196
19,122,188,40,70,142,223
20,291,145,237,211,409,250
20,144,199,139,158,213,278
20,203,136,107,219,256,245
20,547,108,92,249,593,232
20,291,161,60,109,321,215
20,470,153,77,200,508,253
20,533,164,79,193,572,260
20,441,171,44,56,463,199
20,64,173,60,59,94,202
20,265,177,40,55,285,204
20,0,201,146,154,73,278
20,407,161,48,71,431,196
20,122,188,40,70,142,223
21,288,144,241,212,408,250
21,144,199,140,158,214,278
21,553,107,86,250,596,232
21,470,153,77,200,508,253
21,533,164,79,193,572,260
21,292,161,60,107,322,214
21,440,171,45,57,462,199
21,64,173,60,58,94,202
21,203,134,108,222,257,245
21,408,161,47,70,431,196
21,265,178,40,54,285,205
21,123,189,40,69,143,223
22,287,144,240,213,407,250
22,143,199,141,158,213,278
22,551,107,87,249,594,231
22,470,153,77,201,508,253
22,204,135,111,215,259,242
22,533,164,77,193,571,260
22,294,159,56,105,322,211
22,439,171,46,57,462,199
22,65,173,59,57,94,201
22,408,161,49,69,432,195
22,123,187,40,72,143,223
22,265,178,41,52,285,204
23,284,143,241,213,404,249
23,146,198,137,159,214,277
23,203,134,113,207,259,237
23,542,108,97,248,590,232
23,533,164,72,193,569,260
23,297,156,52,104,323,208
23,468,152,78,199,507,251
23,436,170,45,58,458,199
23,67,173,58,56,96,201
23,0,224,150,133,75,290
23,410,162,64,68,442,196
23,265,180,43,48,286,204
23,123,188,45,69,145,222
24,284,143,241,214,404,250
24,146,198,137,159,214,277
24,203,134,113,207,259,237
24,542,109,97,248,590,233
24,533,164,72,193,569,260
24,297,156,52,104,323,208
24,468,152,78,199,507,251
24,436,170,45,58,458,199
24,67,173,58,56,96,201
24,0,224,150,133,75,290
24,410,162,64,68,442,196
24,265,180,43,48,286,204
24,123,188,45,69,145,222
25,284,142,241,214,404,249
25,146,198,137,159,214,277
25,202,134,114,207,259,237
25,542,108,97,248,590,232
25,533,163,72,193,569,259
25,297,157,52,104,323,209
25,468,152,79,199,507,251
25,436,170,45,58,458,199
25,67,173,58,56,96,201
25,0,224,150,133,75,290
25,410,162,64,67,442,195
25,265,180,43,48,286,204
25,123,188,45,69,145,222
26,284,141,239,215,403,248
26,149,199,133,159,215,278
26,539,109,100,247,589,232
26,201,136,117,192,259,232
26,2,223,152,134,78,290
26,298,156,53,100,324,206
26,469,152,79,200,508,252
26,533,163,69,192,567,259
26,434,170,46,61,457,200
26,68,173,59,56,97,201
26,0,208,53,148,26,282
26,268,181,41,47,288,204
26,127,187,40,55,147,214
27,284,141,239,215,403,248
27,149,199,133,159,215,278
27,539,109,100,248,589,233
27,201,136,117,193,259,232
27,2,223,152,134,78,290
27,298,156,53,100,324,206
27,469,152,79,200,508,252
27,533,163,69,192,567,259
27,434,170,46,61,457,200
27,68,173,59,56,97,201
27,0,208,53,149,26,282
27,268,181,41,47,288,204
27,127,187,40,55,147,214
28,282,138,239,218,401,247
28,539,109,100,247,589,232
28,202,138,116,195,260,235
28,296,156,57,98,324,205
28,9,222,174,134,96,289
28,432,170,47,63,455,201
28,468,152,80,200,508,252
28,69,172,60,56,99,200
28,163,199,108,158,217,278
28,533,163,65,193,565,259
28,0,211,51,147,25,284
28,533,164,67,132,566,230
28,129,187,39,52,148,213
28,270,178,39,51,289,203
29,281,137,238,219,400,246
29,538,109,101,247,588,232
29,294,156,59,96,323,204
29,201,141,116,179,259,230
29,8,222,176,134,96,289
29,163,201,120,156,223,279
29,468,152,80,201,508,252
29,70,172,59,56,99,200
29,430,169,48,63,454,200
29,533,163,64,194,565,260
29,533,164,64,128,565,228
29,132,187,36,45,150,209
29,0,211,49,145,24,283
29,271,178,38,52,290,204
30,281,137,238,219,400,246
30,538,109,101,247,588,232
30,294,156,60,96,324,204
30,201,141,116,179,259,230
30,9,222,175,134,96,289
30,163,201,120,156,223,279
30,70,172,59,56,99,200
30,468,152,80,201,508,252
30,430,170,48,63,454,201
30,533,163,64,194,565,260
30,533,164,64,128,565,228
30,132,187,36,45,150,209
30,0,211,49,145,24,283
30,272,178,37,52,290,204
31,281,137,238,219,400,246
31,538,109,100,247,588,232
31,199,141,118,181,258,231
31,293,156,62,97,324,204
31,165,202,120,156,225,280
31,70,172,59,57,99,200
31,13,223,169,133,97,289
31,430,169,47,64,453,201
31,467,152,81,201,507,252
31,533,164,63,128,564,228
31,533,163,62,193,564,259
31,0,213,49,144,24,285
31,133,187,36,48,151,211
32,280,136,239,220,399,246
32,196,143,120,178,256,232
32,539,109,100,247,589,232
32,165,203,119,155,224,280
32,292,157,63,96,323,205
32,16,222,168,134,100,289
32,430,169,47,64,453,201
32,70,171,61,57,100,199
32,466,153,81,200,506,253
32,534,162,63,193,565,258
32,0,213,48,144,24,285
32,533,164,61,127,563,227
32,133,187,36,44,151,209
33,280,136,239,220,399,246
33,194,144,121,176,254,232
33,541,109,98,247,590,232
33,164,205,121,153,224,281
33,289,158,66,95,322,205
33,429,169,47,65,452,201
33,20,222,159,135,99,289
33,466,152,82,201,507,252
33,534,163,61,193,564,259
33,70,171,60,56,100,199
33,0,214,48,143,24,285
33,134,187,39,44,153,209
34,280,136,239,220,399,246
34,196,147,118,175,255,234
34,546,109,93,247,592,232
34,164,207,121,151,224,282
34,287,159,68,95,321,206
34,429,169,48,65,453,201
34,533,163,60,192,563,259
34,467,152,81,201,507,252
34,24,220,161,137,104,288
34,0,214,51,142,25,285
34,72,171,63,59,103,200
34,132,188,40,45,152,210
34,531,174,26,39,544,193
35,280,136,239,220,399,246
35,196,147,118,175,255,234
35,547,109,92,247,593,232
35,164,207,121,151,224,282
35,287,159,68,95,321,206
35,429,169,48,65,453,201
35,533,163,60,193,563,259
35,24,220,161,137,104,288
35,467,152,80,200,507,252
35,0,214,51,143,25,285
35,72,171,63,59,103,200
35,531,174,26,39,544,193
35,132,188,40,45,152,210
36,279,136,242,221,400,246
36,197,151,117,171,255,236
36,550,109,89,247,594,232
36,165,208,121,150,225,283
36,287,159,68,96,321,207
36,429,169,49,66,453,202
36,535,162,58,193,564,258
36,466,152,81,201,506,252
36,31,220,155,137,108,288
36,0,213,53,143,26,284
36,531,174,26,39,544,193
36,71,171,68,59,105,200
36,132,188,40,44,152,210
37,284,136,237,221,402,246
37,550,109,89,247,594,232
37,193,151,120,175,253,238
37,167,210,118,148,226,284
37,283,161,71,96,318,209
37,428,169,49,66,452,202
37,0,214,56,143,28,285
37,467,152,81,203,507,253
37,39,218,143,139,110,287
37,533,164,59,192,562,260
37,531,174,26,39,544,193
37,534,165,59,126,563,228
37,131,188,41,43,151,209
37,71,171,62,62,102,202
38,284,135,238,221,403,245
38,548,109,91,246,593,232
38,193,153,120,178,253,242
38,166,214,119,144,225,286
38,279,162,76,96,317,210
38,428,168,50,67,453,201
38,43,219,140,139,113,288
38,0,213,62,144,31,285
38,468,152,80,202,508,253
38,533,163,58,194,562,260
38,531,174,26,39,544,193
38,534,164,59,123,563,225
39,284,136,238,220,403,246
39,551,109,88,247,595,232
39,191,153,122,184,252,245
39,280,165,77,92,318,211
39,428,168,50,68,453,202
39,49,219,136,139,117,288
39,166,214,119,144,225,286
39,0,212,70,146,35,285
39,465,152,81,202,505,253
39,534,164,59,193,563,260
39,531,174,26,39,544,193
40,284,136,238,220,403,246
40,551,109,88,247,595,232
40,192,153,121,184,252,245
40,280,165,77,92,318,211
40,428,168,50,68,453,202
40,49,219,136,139,117,288
40,166,214,119,144,225,286
40,0,212,70,146,35,285
40,465,152,81,202,505,253
40,534,164,59,193,563,260
40,531,174,26,39,544,193
41,286,136,238,220,405,246
41,554,109,85,247,596,232
41,191,152,124,186,253,245
41,429,168,49,68,453,202
41,277,165,85,91,319,210
41,51,220,138,138,120,289
41,0,211,71,147,35,284
41,171,217,114,140,228,287
41,464,153,81,201,504,253
41,534,165,58,193,563,261
41,531,174,26,39,544,193
41,69,171,76,74,107,208
42,286,138,238,219,405,247
42,551,109,88,247,595,232
42,191,152,124,202,253,253
42,0,210,76,148,38,284
42,281,166,83,93,322,212
42,57,220,137,138,125,289
42,429,167,48,71,453,202
42,464,152,87,202,507,253
42,551,164,42,77,572,202
42,173,217,82,140,214,287
42,69,171,76,75,107,208
42,531,174,27,39,544,193
43,287,138,238,218,406,247
43,545,110,94,246,592,233
43,191,151,125,205,253,253
43,0,210,78,148,39,284
43,281,167,80,96,321,215
43,64,219,137,139,132,288
43,431,167,48,70,455,202
43,550,165,42,77,571,203
43,466,153,91,202,511,254
43,68,172,63,79,99,211
43,531,174,27,38,544,193
44,288,139,238,217,407,247
44,190,150,127,206,253,253
44,549,110,89,246,593,233
44,0,207,80,151,40,282
44,283,167,81,100,323,217
44,65,217,138,141,134,287
44,547,165,44,83,569,206
44,467,152,104,203,519,253
44,433,167,46,74,456,204
44,531,174,26,39,544,193
44,67,172,57,82,95,213
45,288,139,238,217,407,247
45,190,150,127,206,253,253
45,549,110,89,246,593,233
45,0,207,80,151,40,282
45,283,167,81,100,323,217
45,65,217,138,141,134,287
45,548,164,44,83,570,205
45,433,167,45,74,455,204
45,467,152,104,203,519,253
45,67,172,58,82,96,213
45,531,174,26,39,544,193
46,290,141,238,216,409,249
46,189,147,129,209,253,251
46,554,110,85,246,596,233
46,68,216,142,141,139,286
46,0,206,86,151,43,281
46,286,168,82,98,327,217
46,434,167,46,77,457,205
46,531,174,26,39,544,193
46,543,164,49,86,567,207
47,291,142,238,214,410,249
47,189,145,130,211,254,250
47,556,110,83,246,597,233
47,0,203,96,155,48,280
47,287,168,84,100,329,218
47,71,216,156,141,149,286
47,70,172,58,104,99,224
47,519,164,74,193,556,260
