frame,event_type,track_id,zone,cx,cy
5,entry,3,left,226,254
6,entry,6,left,246,253
9,entry,12,left,87,201
13,exit,6,left,253,252
13,entry,8,left,246,238
17,entry,13,left,94,202
18,entry,5,top,267,99
21,entry,11,top,653,87
22,exit,8,left,-7,285
23,entry,16,left,75,290
26,entry,17,left,26,282
27,exit,5,top,269,-10
27,exit,11,top,748,-4
74,entry,20,left,199,193
79,entry,21,left,218,292
98,exit,21,left,253,281
111,entry,6,left,238,284
113,exit,6,left,265,263
117,entry,21,left,237,289
123,entry,23,left,187,199
123,entry,24,left,134,220
148,entry,10,top,272,98
176,entry,26,top,493,99
180,exit,24,left,-2,263
187,entry,24,left,24,259
197,entry,27,left,234,263
201,exit,17,left,-2,196
210,exit,27,left,-9,362
219,exit,21,left,254,214
223,entry,21,left,239,205
234,entry,29,left,19,277
234,entry,30,left,13,278
257,entry,7,left,251,299
294,exit,21,left,276,199
322,entry,33,left,187,291
323,entry,34,left,177,249
323,entry,35,left,22,215
337,exit,7,left,-7,319
353,entry,39,left,120,254
373,entry,43,left,21,275
377,entry,40,top,349,97
392,exit,40,top,335,-4
393,exit,34,left,252,262
403,entry,45,left,209,205
416,entry,44,top,399,97
461,entry,47,left,38,302
506,entry,34,left,249,318
508,entry,1,top,279,97
532,entry,38,left,250,237
562,entry,48,top,271,96
571,entry,51,left,251,254
578,entry,54,top,278,90
579,entry,53,left,249,251
581,exit,54,top,278,104
581,entry,56,top,430,87
582,entry,57,left,127,90
582,entry,57,top,127,90
583,entry,55,top,558,84
585,entry,54,left,251,113
585,entry,58,top,439,88
587,entry,59,top,449,87
587,entry,61,top,592,87
588,exit,61,top,576,102
589,entry,60,top,282,91
591,entry,61,top,570,84
592,entry,54,top,250,95
596,entry,62,left,244,114
598,entry,63,left,114,92
598,entry,63,top,114,92
599,exit,54,left,270,109
599,exit,54,top,270,109
600,entry,62,top,212,95
604,entry,54,left,251,98
604,entry,54,top,251,98
606,exit,58,top,559,111
608,exit,54,top,250,104
608,exit,57,left,-5,98
608,exit,57,top,-5,98
610,entry,58,top,561,94
611,entry,57,left,10,92
611,entry,57,top,10,92
611,exit,63,left,253,87
612,entry,54,top,237,96
616,exit,61,top,482,101
620,exit,54,top,202,112
620,exit,57,left,-1,94
620,exit,57,top,-1,94
620,entry,64,left,235,99
620,entry,64,top,235,99
624,exit,62,left,48,-4
624,exit,62,top,48,-4
624,exit,64,top,228,100
628,entry,54,top,110,93
640,exit,59,top,461,102
640,entry,64,top,209,99
641,entry,59,top,424,98
641,entry,61,top,352,87
642,entry,65,left,251,109
646,exit,64,top,207,101
650,exit,63,top,691,-3
653,entry,66,top,611,75
663,exit,59,top,337,115
663,entry,65,top,236,94
669,entry,67,top,490,47
671,exit,54,top,214,106
677,exit,60,top,310,100
678,entry,61,left,248,87
680,exit,54,left,253,120
681,exit,61,left,258,94
684,entry,60,top,331,93
684,exit,61,top,252,101
685,entry,61,left,250,103
686,entry,68,left,26,93
686,entry,68,top,26,93
686,entry,69,left,65,92
686,entry,69,top,65,92
691,entry,61,top,239,99
694,entry,54,top,279,99
698,exit,66,top,593,103
699,exit,58,top,381,100
699,entry,66,top,591,97
699,entry,70,top,382,74
700,entry,58,top,382,98
701,exit,54,top,261,100
701,exit,60,top,513,100
701,exit,68,top,55,110
702,exit,66,top,586,101
704,entry,54,top,260,98
705,entry,60,top,517,92
706,entry,71,top,484,59
707,entry,54,left,250,99
708,entry,59,left,250,121
709,exit,54,top,245,100
710,entry,68,top,128,91
713,exit,61,top,195,101
716,exit,58,top,344,100
717,entry,58,top,343,99
718,exit,58,top,343,100
719,entry,66,top,568,99
720,exit,66,top,563,100
724,entry,58,top,332,99
725,exit,58,top,329,100
725,entry,66,top,557,96
726,entry,58,top,327,99
726,exit,69,left,255,92
727,exit,66,top,555,100
729,exit,68,left,253,78
731,exit,58,top,322,100
731,entry,72,top,630,98
732,entry,58,top,322,85
733,entry,69,left,250,94
734,exit,69,left,255,95
736,entry,61,top,127,97
736,exit,72,top,624,100
743,entry,66,top,532,99
744,entry,72,top,605,90
747,entry,54,top,221,94
748,exit,72,top,592,101
752,exit,61,top,133,152
752,entry,73,top,628,79
755,exit,54,left,253,89
757,exit,60,top,434,100
764,exit,54,top,271,102
771,entry,60,top,424,97
771,entry,61,top,75,97
773,exit,60,top,422,100
773,exit,66,top,474,108
774,exit,73,top,548,103
776,entry,73,top,557,90
777,entry,54,left,251,106
778,entry,72,top,619,82
780,entry,66,top,456,99
782,exit,66,top,454,101
785,entry,60,top,408,99
787,entry,54,top,245,99
787,exit,60,top,404,101
790,entry,60,top,400,99
791,exit,72,top,604,102
794,entry,72,top,624,86
795,entry,66,top,504,84
798,exit,60,top,385,100
800,entry,60,top,372,99
801,exit,60,top,379,101
802,entry,60,top,352,99
802,exit,69,top,389,103
803,entry,69,top,422,92
806,exit,60,top,342,100
808,exit,73,top,581,101
810,exit,54,left,279,140
810,exit,54,top,279,140
810,exit,69,top,408,105
811,entry,73,top,581,99
812,exit,73,top,582,100
820,entry,74,left,213,149
822,entry,69,top,410,86
822,entry,73,top,555,88
827,entry,54,top,328,98
827,entry,75,top,561,83
843,exit,58,top,438,100
844,entry,58,top,435,99
845,exit,72,top,472,100
851,exit,58,top,423,100
858,exit,66,top,391,100
862,exit,69,top,333,154
863,exit,73,top,497,115
905,exit,54,top,553,100
908,entry,54,top,544,97
916,entry,76,top,306,95
930,entry,76,left,242,94
931,exit,76,left,253,95
935,entry,77,left,225,95
935,entry,77,top,225,95
936,entry,78,top,454,91
936,entry,79,top,579,92
947,entry,80,left,117,100
951,exit,77,top,130,102
951,exit,78,top,277,100
951,entry,80,top,41,92
954,entry,78,left,239,102
956,entry,77,top,71,88
958,entry,78,top,121,94
959,exit,80,left,-6,88
959,exit,80,top,-6,88
962,exit,77,top,45,107
965,entry,81,top,524,89
972,entry,77,top,18,97
975,entry,76,left,246,91
976,exit,77,top,12,108
977,exit,78,top,128,110
977,entry,82,left,163,79
977,entry,82,top,163,79
980,entry,83,top,414,92
981,exit,77,left,-3,120
981,entry,78,top,74,97
982,exit,82,top,140,113
983,exit,76,top,163,108
984,entry,76,top,167,98
985,entry,54,left,249,89
999,entry,82,top,33,96
1003,entry,83,left,245,100
1003,exit,83,top,245,100
1005,exit,82,left,-4,89
1005,exit,82,top,-4,89
1007,exit,78,left,-2,95
1007,exit,78,top,-2,95
1008,entry,84,top,297,87
1011,entry,85,top,285,90
1013,entry,83,top,190,94
1016,exit,84,top,310,116
1019,exit,76,left,-4,95
1019,exit,76,top,-4,95
1019,exit,83,top,171,101
1019,entry,85,left,250,90
1023,exit,54,top,105,109
1023,entry,76,left,47,96
1023,entry,76,top,47,96
1023,entry,86,left,167,105
1025,exit,76,top,62,106
1026,entry,78,left,26,105
1031,exit,85,top,206,103
1038,entry,85,top,178,91
1042,entry,54,top,139,91
1044,entry,81,left,248,92
1070,exit,54,top,201,130
1071,exit,81,top,157,107
1072,entry,81,top,166,94
1074,entry,83,top,70,95
1088,exit,81,top,199,120
1088,entry,87,top,619,90
1088,entry,88,left,180,120
1090,entry,78,top,49,91
1092,exit,83,top,82,105
1100,entry,89,top,617,89
1103,exit,85,top,129,102
1113,entry,76,top,63,91
1131,exit,76,top,83,117
